name,description,properties,games_count
Tactical Miniatures War Games,Combat focused cooperative and solo games with action points and miniatures,"[""mech::Action Points"", ""comp::Miniatures"", ""mech::Variable Player Powers"", ""comp::Dice"", ""type::Fighting"", ""comp::Modular Board"", ""type::Cooperative"", ""type::Strategy"", ""type::Solitaire"", ""comp::Grid"", ""type::War Game"", ""mech::Hand Management""]",88
Area Movement War Games,Tactical war games about moving forces and controlling territory,"[""mech::Area Movement"", ""type::War Game"", ""mech::Area Majority / Influence"", ""comp::Dice"", ""mech::Variable Player Powers"", ""comp::Miniatures"", ""mech::Simulation"", ""type::Strategy"", ""type::Solitaire""]",87
Miniatures-Focused Fighting Games,Combat games emphasizing detailed miniature figures with modular boards and variable abilities,"[""type::Fighting"", ""mech::Variable Player Powers"", ""comp::Miniatures"", ""comp::Dice"", ""mech::Hand Management"", ""comp::Modular Board"", ""comp::Cards"", ""type::Cooperative"", ""type::Card Game"", ""type::Two-Player"", ""comp::Grid"", ""type::Solitaire""]",86
Event-Driven War Simulations,Solo and cooperative war games with variable setups and random events,"[""mech::Events"", ""mech::Variable Set-up"", ""comp::Dice"", ""mech::Simulation"", ""type::War Game"", ""type::Solitaire"", ""mech::Variable Player Powers"", ""comp::Grid"", ""type::Cooperative""]",82
Territory Control Strategy,Strategic games about building territories and maintaining control through placement,"[""mech::Territory Building"", ""mech::Area Majority / Influence"", ""mech::Tile Placement"", ""type::Strategy"", ""comp::Modular Board"", ""comp::Grid"", ""mech::Set Collection""]",79
Hex Tile Abstract Games,Abstract strategy games on hex grids with tile placement,"[""comp::Hexagonal"", ""comp::Grid"", ""type::Abstract"", ""mech::Tile Placement"", ""type::Strategy"", ""comp::Modular Board""]",78
Score-and-Reset Family Card Games,Family games where players score points then reset the playing area for the next round,"[""mech::Score-and-Reset Game"", ""type::Card Game"", ""comp::Cards"", ""type::Family"", ""mech::Hand Management""]",77
Deck-Progression Cooperative Solitaires,Cooperative and solo card games where the deck moves through the play area as a core mechanic,"[""mech::Move Through Deck"", ""type::Solitaire"", ""comp::Cards"", ""type::Card Game"", ""type::Cooperative"", ""mech::Hand Management""]",75
Party RPG Adventures,Social role-playing games combining exploration with team-based party play,"[""type::Role Playing"", ""mech::Exploration"", ""mech::Variable Player Powers"", ""type::Cooperative"", ""type::Party Game"", ""type::Fighting"", ""comp::Miniatures"", ""comp::Dice"", ""type::Team-Based Game"", ""comp::Modular Board"", ""type::Solitaire""]",67
Adult Party Card Games,Mature-themed party games featuring adult humor and card-based social interactions,"[""type::Mature / Adult"", ""type::Party Game"", ""type::Card Game"", ""comp::Cards"", ""mech::Hand Management""]",67
Economic Stock Trading,Strategic economic games focused on stock holdings and commodity speculation,"[""mech::Stock Holding"", ""type::Economic"", ""comp::Network and Route Building"", ""mech::Commodity Speculation"", ""mech::Bidding"", ""mech::Auction"", ""type::Strategy"", ""mech::Tile Placement""]",66
Real-Time Dexterity Party Games,Fast family party games that reward quick reactions and puzzle solving,"[""type::Real-Time"", ""mech::Dexterity"", ""mech::Puzzle"", ""type::Party Game"", ""type::Cooperative"", ""type::Family""]",66
Exploration Map Building Games,Strategy games about revealing maps and expanding the board,"[""comp::Map Addition"", ""mech::Exploration"", ""mech::Tile Placement"", ""comp::Modular Board"", ""comp::Grid"", ""type::Strategy""]",64
Ladder-Climbing Family Card Games,Family card games where players beat the current highest card to climb a hierarchy,"[""mech::Ladder Climbing"", ""type::Card Game"", ""comp::Cards"", ""mech::Hand Management"", ""type::Family""]",64
Communication-Limited Cooperative Party Games,Cooperative party games where direct communication between players is restricted or limited,"[""mech::Communication Limits"", ""type::Cooperative"", ""mech::Induction / Deduction"", ""type::Party Game"", ""mech::Memory"", ""type::Team-Based Game"", ""comp::Cards"", ""type::Card Game"", ""mech::Hand Management""]",63
One-vs-Many Skirmish Games,Asymmetric battles with hidden information and variable roles,"[""mech::One versus Many"", ""type::Team-Based Game"", ""mech::Induction / Deduction"", ""mech::Variable Player Powers"", ""comp::Miniatures"", ""comp::Dice""]",58
Economic Ownership Games,Strategy games about ownership expansion and route development,"[""mech::Ownership"", ""type::Economic"", ""comp::Network and Route Building"", ""mech::Variable Set-up"", ""type::Strategy"", ""mech::Tile Placement""]",58
Contract Worker Placement Games,Economic strategy games centered on contracts income and worker placement,"[""mech::End Game Bonuses"", ""mech::Contracts"", ""mech::Income"", ""mech::Variable Set-up"", ""mech::Turn Order"", ""mech::Drafting"", ""type::Strategy"", ""mech::Worker Placement"", ""mech::Set Collection"", ""type::Solitaire"", ""type::Economic"", ""mech::Tile Placement""]",56
Hidden-Role Traitor Party Games,Party games where players work together but hidden traitors secretly try to sabotage the group,"[""mech::Hidden Roles"", ""type::Traitor Game"", ""mech::Induction / Deduction"", ""mech::Bluffing"", ""mech::Voting"", ""type::Team-Based Game"", ""type::Party Game"", ""mech::Player Elimination"", ""mech::Variable Player Powers"", ""type::Card Game"", ""comp::Cards"", ""mech::Hand Management""]",56
Family Construction Strategy Games,Family friendly economic games about construction and worker placement,"[""mech::Construction"", ""mech::Tile Placement"", ""type::Strategy"", ""type::Economic"", ""mech::Worker Placement"", ""mech::Drafting"", ""mech::Set Collection"", ""type::Solitaire"", ""type::Family""]",55
Industrial Economic Strategy,Strategic games simulating industrial management with economic mechanics,"[""type::Industry / Manufacturing"", ""type::Economic"", ""mech::Worker Placement"", ""type::Strategy"", ""mech::Auction"", ""mech::Drafting"", ""type::Solitaire""]",54
Escape Room Puzzle Hybrid Games,Games combining escape room puzzle mechanics with board game and card game elements,"[""type::Escape Room"", ""mech::Puzzle"", ""comp::Digital Hybrid"", ""type::Cooperative"", ""type::Real-Time"", ""mech::Induction / Deduction"", ""type::Murder / Mystery"", ""type::Solitaire"", ""type::Card Game"", ""comp::Cards""]",53
Card-Driven Skirmish & Duel Games,Combat games where card play drives all conflict resolution and tactical skirmish actions,"[""mech::Card Play Conflict Resolution"", ""comp::Cards"", ""mech::Hand Management"", ""type::Fighting"", ""comp::Miniatures"", ""mech::Variable Player Powers"", ""type::Card Game"", ""type::Two-Player"", ""mech::Deck Building"", ""type::Strategy"", ""type::Solitaire"", ""type::War Game""]",52
Strategic Multi-Use Card Games,Strategy games featuring multi-use cards where players must decide how to utilize each card,"[""mech::Tags"", ""mech::End Game Bonuses"", ""comp::Multi-Use Cards"", ""mech::Variable Set-up"", ""mech::Drafting"", ""mech::Hand Management"", ""type::Strategy"", ""mech::Set Collection"", ""comp::Cards"", ""type::Card Game""]",52
Party Game Negotiation,"Social party games built on voting, bluffing, and negotiation mechanics","[""mech::Voting"", ""type::Party Game"", ""mech::Negotiation"", ""mech::Bluffing"", ""mech::Induction / Deduction"", ""type::Team-Based Game"", ""type::Card Game"", ""mech::Variable Player Powers""]",52
Children's Party Dexterity,Fun real-time party games for kids emphasizing physical play and quick reactions,"[""mech::Dexterity"", ""type::Childrens Game"", ""type::Real-Time"", ""type::Party Game"", ""type::Family""]",52
Economic Commodity Trading,Strategic economic games centered on speculation and trading commodities,"[""mech::Commodity Speculation"", ""type::Economic"", ""mech::Stock Holding"", ""mech::Bidding"", ""type::Strategy"", ""mech::Auction"", ""mech::Set Collection""]",51
Music-Themed Party Card Games,Party card games with music-related themes and mechanics for social play,"[""type::Music"", ""type::Party Game"", ""comp::Cards"", ""type::Card Game"", ""type::Cooperative"", ""mech::Set Collection""]",50
